character_id,profession,manor_name,real_name,camp,birthday_or_anniversary,age,gender,cn_release_date,cn_voice_actor,experiment_code
entomologist,昆蟲學者,梅莉·普林尼,梅莉·恩德洛武,求生者,12月22日,28,女,2020-06-24,黃鶯,
painter,畫家,艾格·瓦爾登,艾格·瓦爾登,求生者,4月23日,21,男,2020-09-24,薛諒,5-?-1
batter,擊球手,甘吉·古普塔,甘吉·古普塔,求生者,5月29日,21,男,2020-12-24,安志,3-1-4
toy_merchant,玩具商,安妮·萊斯特,安妮·萊斯特,求生者,11月29日,24,女,2021-05-08,杜晴晴,3-1-2
psychologist,“心理學家”,艾達·梅斯默,艾達·梅斯默,求生者,10月10日,30,女,2021-08-05,張文鈺,0-0-1
patient,病患,埃米爾,埃米爾,求生者,10月10日,,男,2021-08-05,李春胤,0-1-2
novelist,小說家,“奧爾菲斯”,未知,求生者,4月2日,24,男,2021-10-29,劉北辰,
little_girl,“小女孩”,“回憶”,愛麗絲·德羅斯,求生者,9月13日,,女,2021-11-11,杜晴晴,
weeping_clown,哭泣小丑,裘克,裘克,求生者,8月4日,20,男,2022-01-20,王宇航,8-0-3
professor,教授,盧基諾·迪魯西,盧基諾·迪魯西,求生者,11月13日,30,男,2022-04-28,劉以嘉,6-1-4
antique_dealer,古董商,戚十一,蕭遙,求生者,4月2日,30,女,2022-08-04,徐慧,13-1-2
composer,作曲家,弗雷德里克·克雷伯格,弗雷德里克·克雷伯格,求生者,5月21日,26,男,2022-12-01,劉飛,
journalist,記者,愛麗絲·德羅斯,愛麗絲·德羅斯,求生者,5月5日,21,女,2023-04-20,杜晴晴,
aviator,飛行家,查理斯·霍爾特,查理斯·霍爾特,求生者,6月5日,38,男,2023-07-27,徐翔,10-1-3
cheerleader,啦啦隊員,莉莉·巴利爾,莉莉·巴利爾,求生者,11月13日,18,女,2023-08-31,秦文靜,
puppeteer,木偶師,馬蒂亞斯·切爾寧,馬蒂亞斯·切爾寧,求生者,5月25日,24,男,2024-02-01,黃驥,
fire_investigator,火災調查員,弗洛裡安·布蘭德,弗洛裡安·布蘭德,求生者,5月2日,25,男,2024-04-30,徐翔,
pharoh_lady,“法羅女士”,伊芙琳·莫雷,伊芙琳·莫雷,求生者,7月12日,32,女,2024-06-13,張琦,
knight,“騎士”,理查德·斯特林,米哈伊爾·托夫洛維奇·瓦西里耶夫,求生者,9月8日,,男,2024-10-17,張琪,
meteorologist,氣象學家,溫迪·福特,溫迪·福特,求生者,2月11日,,女,2025-01-23,蘇婉,
archer,弓箭手,伯倫希爾·維魯弗,伯倫希爾·維魯弗,求生者,7月30日,,女,2025-03-13,,
escape_master,“逃脫大師”,埃弗隆·懷茲,埃弗隆·懷茲,求生者,,,男,2025-05-22,王柏超,
magic_lantern_operator,幻燈師,阿曼達·加蒂斯,阿曼達·加蒂斯,求生者,10月19日,,女,2025-10-11,,12-1-1
matador,鬥牛士,赫南多·羅梅羅,赫南多·羅梅羅,求生者,,,男,2026-02-05,樊浩宇,
mime,默劇藝人,克萊奧·德克魯,克萊奧·德克魯,求生者,,,女,2026-06-03,苗子,
factory_manager,廠長,里奧,里奧·貝克,監管者,12月21日,,男,2018-04-02,蘇鑫,1-12-22-13
clown_hunter,“小丑”,裘克,裘克,監管者,8月4日,,男,2018-04-05,王宇航,8-0-3
deer_head,鹿頭,班恩,班恩·佩雷茲,監管者,5月21日,,男,2018-04-05,蘇鑫,
jack,“傑克”,傑克,未知,監管者,8月7日,,男,2018-04-05,梁達偉,2-0-2
spider,蜘蛛,瓦爾萊塔,瓦爾萊塔,監管者,1月2日,,女,2018-04-19,武向彤,8-0-1
red_butterfly,紅蝶,美智子,美智子,監管者,2月18日,,女,2018-05-17,黃鶯,6-1-2
hastur,黃衣之主,哈斯塔,哈斯塔,監管者,1月24日,,,2018-06-14,王宇航,6-0-5
shade_umbrella_soul,宿傘之魂,謝必安/范無咎,謝必安/范無咎,監管者,農曆七月十五日,,男,2018-08-23,孫曄,5-0-3-U
photographer,攝影師,約瑟夫,約瑟夫·德拉索恩斯,監管者,3月11日,,男,2018-09-27,孫曄,
mad_eye,瘋眼,巴爾克,巴爾克·拉·帕杜拉,監管者,11月27日,,男,2018-11-15,孟祥龍,
dream_witch,夢之女巫,伊德海拉,伊德海拉,監管者,10月2日,,女,2019-01-24,周帥,
crybaby,愛哭鬼,羅比,羅比·懷特,監管者,4月25日,,男,2019-04-11,金娜,
evil_reptile,孽蜥,盧基諾·迪魯西,盧基諾·迪魯西,監管者,11月13日,,男,2019-06-06,劉以嘉,6-1-4
red_lady,紅夫人,瑪麗,瑪麗·安托瓦內特,監管者,11月2日,,女,2019-08-27,陳婷婷,
guard_26,26號守衛,邦邦,邦邦,監管者,8月8日,,,2019-10-17,,
apostle,“使徒”,安,琼·安,監管者,8月11日,,女,2020-01-18,穆雪婷,11-0-3
violinist,小提琴家,安東尼奧,安東尼奧,監管者,10月27日,,男,2020-05-08,馬洋,3-1-3
sculptor,雕刻家,伽拉泰亞,伽拉泰亞·克勞德,監管者,11月17日,,女,2020-08-06,賀若帆,
doctor_hunter,“博士”,珀西,珀西,監管者,5月18日,,男,2020-11-26,許棕哲,
broken_wheel,破輪,威爾三兄弟,威爾·羅比/威爾·馬克/威爾·史帝夫,監管者,11月25日,,男,2021-03-18,劉垚,3-?-2
fishwoman,漁女,格蕾絲,格蕾絲·伍德,監管者,4月2日,,女,2021-06-17,張安琪,
wax_sculptor,蠟像師,菲利普,菲利普,監管者,4月16日,,男,2021-10-14,陳昊天,2-0-3
dream_hunter,“噩夢”,“奧爾菲斯”,未知,監管者,4月2日,,男,2021-11-18,劉北辰,
recorder,“記錄員”,柯根,柯根·尼古拉斯·基奧,監管者,1月21日,,女,2022-04-06,孫暢,2-1-1
hermit,隱士,阿爾瓦·洛倫茲,阿爾瓦·洛倫茲,監管者,4月20日,,男,2022-08-25,董勝章,11-0-2
night_watcher,守夜人,伊塔庫亞,伊塔·維魯弗,監管者,12月7日,,男,2023-03-02,安志,
opera_singer,歌劇演員,桑格莉婭,桑格莉婭,監管者,9月28日,,女,2023-06-21,謝瑩,3-1-4
fool_gold,“愚人金”,諾頓·坎貝爾,諾頓·坎貝爾,監管者,3月19日,,男,2023-11-02,劉雨軒,
shadow_of_time_and_space,時空之影,“艾維”,艾維·勞森,監管者,10月21日,,女,2024-03-21,盧曉彤,
lame_sheep,“跛腳羊”,傑弗里·博納維塔,傑弗里·博納維塔,監管者,10月4日,,男,2024-08-22,許棕哲,
noisy,“喧囂”,麥克·莫頓,麥克·莫頓,監管者,6月1日,,男,2024-11-14,翟巍,
grocery_merchant,雜貨商,瓦倫蒂娜·雅加·瓦西裡耶娃,瓦倫蒂娜·雅加·瓦西裡耶娃,監管者,6月22日,,女,2025-04-24,盧曉彤,
billiard_player,“檯球手”,馬庫斯·索恩,馬庫斯·索恩,監管者,,,男,2025-08-28,呂書君,3-1-5
queen_bee,“女王蜂”,梅莉·普林尼,梅莉·恩德洛武,監管者,12月22日,,女,2025-11-27,黃鶯,
dentist,“牙醫”,芬森·亨特,芬森·亨特,監管者,,,男,2026-04-23,,
