question_id,character_id,profession,difficulty,field_key,question_text,correct_answer,options_json
doctor_representative_s_tier_costume_easy,doctor,survivor,easy,representative_s_tier_costume,該角色擁有哪些時裝？,司藥,"[""克羅托"",""司藥"",""\""鬼燭\""""]"
doctor_representative_a_tier_costume_easy,doctor,survivor,easy,representative_a_tier_costume,該角色擁有哪些時裝？,試運者、流螢,"[""試運者、流螢"",""黃金燭台"",""\""有機磷\""、共赴深處""]"
doctor_abyss_s_or_a_costume_easy,doctor,survivor,easy,abyss_s_or_a_costume,該角色擁有哪些時裝？,痊癒、雨中曲、往昔,"[""糖果少女、咫尺天涯、\""鎖芯\"""",""痊癒、雨中曲、往昔"",""\""裁縫夫人\""、蛇蠍美人、補天裂""]"
doctor_cn_release_date_hard,doctor,survivor,hard,cn_release_date,該角色的上線日期為？,2018-04-02,"[""2018-04-02"",""2021-10-29"",""2026-04-23""]"
doctor_cn_voice_actor_hard,doctor,survivor,hard,cn_voice_actor,該角色的中文配音演員為？,武向彤,"[""孟祥龍"",""武向彤"",""安志""]"
doctor_experiment_code_hard,doctor,survivor,hard,experiment_code,該角色的實驗代號為？,4-0-4,"[""4-0-4"",""8-1-4"",""3-?-1""]"
lawyer_manor_name_easy,lawyer,survivor,easy,manor_name,該角色在莊園的名字是？,弗雷迪·萊利,"[""推演替身"",""弗雷迪·萊利"",""巴爾克""]"
lawyer_real_name_easy,lawyer,survivor,easy,real_name,該角色的本名是？,弗雷迪·萊利,"[""瑟維·勒·羅伊"",""弗雷迪·萊利"",""威廉·艾利斯""]"
lawyer_alias_easy,lawyer,survivor,easy,alias,玩家可能怎麼稱呼該角色？,微調哥,"[""微調哥"",""約約"",""憨蛋""]"
lawyer_camp_easy,lawyer,survivor,easy,camp,該角色的陣營是？,求生者,"[""求生者"",""監管者""]"
lawyer_birthday_or_anniversary_easy,lawyer,survivor,easy,birthday_or_anniversary,該角色的生日／紀念日是？,1月12日,"[""1月13日"",""11月22日"",""1月12日""]"
lawyer_age_easy,lawyer,survivor,easy,age,該角色的年齡是？,38,"[""38"",""21"",""23""]"
lawyer_gender_easy,lawyer,survivor,easy,gender,該角色的性別是？,男,"[""男"",""女""]"
lawyer_likes_easy,lawyer,survivor,easy,likes,該角色喜歡？,瑪莎、金錢,"[""能面、頭紗、和服"",""瑪莎、金錢"",""司南、傘""]"
lawyer_dislikes_easy,lawyer,survivor,easy,dislikes,該角色討厭？,蟑螂,"[""蟑螂"",""陽光、火把"",""老鼠、狐狸""]"
lawyer_representative_s_tier_costume_easy,lawyer,survivor,easy,representative_s_tier_costume,該角色擁有哪些時裝？,倒逆之汞,"[""倒逆之汞"",""初擁"",""怒火""]"
lawyer_representative_a_tier_costume_easy,lawyer,survivor,easy,representative_a_tier_costume,該角色擁有哪些時裝？,蘭斯洛特、維特、正義的砝碼,"[""日落黃沙"",""斐樂蒙的聖壇、行於界限間"",""蘭斯洛特、維特、正義的砝碼""]"
lawyer_cn_release_date_hard,lawyer,survivor,hard,cn_release_date,該角色的上線日期為？,2018-04-02,"[""2023-06-21"",""2018-04-02"",""2021-06-17""]"
lawyer_cn_voice_actor_hard,lawyer,survivor,hard,cn_voice_actor,該角色的中文配音演員為？,李元韜,"[""劉垚"",""武向彤"",""李元韜""]"
lawyer_experiment_code_hard,lawyer,survivor,hard,experiment_code,該角色的實驗代號為？,4-0-3,"[""9-?-1"",""4-0-3"",""3-1-4""]"
philanthropist_manor_name_easy,philanthropist,survivor,easy,manor_name,該角色在莊園的名字是？,克利切·皮爾森,"[""庫特·弗蘭克"",""克萊奧·德克魯"",""克利切·皮爾森""]"
philanthropist_real_name_easy,philanthropist,survivor,easy,real_name,該角色的本名是？,克利切·皮爾森,"[""麗莎·貝克"",""穆羅"",""克利切·皮爾森""]"
philanthropist_alias_easy,philanthropist,survivor,easy,alias,玩家可能怎麼稱呼該角色？,皮皮善,"[""貓貓人"",""皮皮善"",""咒咒國王""]"
philanthropist_camp_easy,philanthropist,survivor,easy,camp,該角色的陣營是？,求生者,"[""監管者"",""求生者""]"
philanthropist_birthday_or_anniversary_easy,philanthropist,survivor,easy,birthday_or_anniversary,該角色的生日／紀念日是？,5月7日,"[""1月3日"",""1月13日"",""5月7日""]"
philanthropist_age_easy,philanthropist,survivor,easy,age,該角色的年齡是？,30,"[""25"",""20"",""30""]"
philanthropist_gender_easy,philanthropist,survivor,easy,gender,該角色的性別是？,男,"[""男"",""女""]"
philanthropist_likes_easy,philanthropist,survivor,easy,likes,該角色喜歡？,金錢、溫順的人,"[""彎刀、有月光的夜晚"",""金錢、溫順的人"",""美麗的、充滿藝術感的人或物""]"
philanthropist_dislikes_easy,philanthropist,survivor,easy,dislikes,該角色討厭？,傲慢的人,"[""鏡子、別人的視線"",""傲慢的人"",""水""]"
philanthropist_representative_s_tier_costume_easy,philanthropist,survivor,easy,representative_s_tier_costume,該角色擁有哪些時裝？,舞獅,"[""紅騎士"",""闔家宴"",""舞獅""]"
philanthropist_representative_a_tier_costume_easy,philanthropist,survivor,easy,representative_a_tier_costume,該角色擁有哪些時裝？,"""稻草人""、鬥牛士之吻、領頭羊","[""\""稻草人\""、鬥牛士之吻、領頭羊"",""薄金、首席顧問"",""悲愴簧管""]"
philanthropist_cn_release_date_hard,philanthropist,survivor,hard,cn_release_date,該角色的上線日期為？,2018-04-02,"[""2019-12-08"",""2018-05-17"",""2018-04-02""]"
philanthropist_cn_voice_actor_hard,philanthropist,survivor,hard,cn_voice_actor,該角色的中文配音演員為？,劉北辰,"[""劉北辰"",""孟祥龍"",""武向彤""]"
philanthropist_experiment_code_hard,philanthropist,survivor,hard,experiment_code,該角色的實驗代號為？,4-0-2,"[""8-1-4"",""4-0-3"",""4-0-2""]"
gardener_manor_name_easy,gardener,survivor,easy,manor_name,該角色在莊園的名字是？,艾瑪·伍茲,"[""艾瑪·伍茲"",""伊德海拉"",""帕緹夏·多里瓦爾""]"
gardener_real_name_easy,gardener,survivor,easy,real_name,該角色的本名是？,麗莎·貝克,"[""麥克·莫頓"",""裘克"",""麗莎·貝克""]"
gardener_former_name_easy,gardener,survivor,easy,former_name,該角色的曾用名是？,麗莎·貝克,"[""穆羅·莫頓"",""麗莎·貝克"",""巴爾克·拉·帕杜拉""]"
gardener_alias_easy,gardener,survivor,easy,alias,玩家可能怎麼稱呼該角色？,丁丁,"[""丁丁"",""殮殮"",""法法""]"
gardener_camp_easy,gardener,survivor,easy,camp,該角色的陣營是？,求生者,"[""求生者"",""監管者""]"
gardener_birthday_or_anniversary_easy,gardener,survivor,easy,birthday_or_anniversary,該角色的生日／紀念日是？,12月21日,"[""12月21日"",""8月25日"",""4月30日""]"
gardener_age_easy,gardener,survivor,easy,age,該角色的年齡是？,22,"[""26"",""22"",""30""]"
gardener_gender_easy,gardener,survivor,easy,gender,該角色的性別是？,女,"[""女"",""男""]"
gardener_likes_easy,gardener,survivor,easy,likes,該角色喜歡？,金絲雀,"[""金絲雀"",""溫柔的人"",""鳥類""]"
gardener_dislikes_easy,gardener,survivor,easy,dislikes,該角色討厭？,老鼠、狐狸,"[""老鼠、狐狸"",""軍隊、政府官員"",""炸藥""]"
gardener_representative_s_tier_costume_easy,gardener,survivor,easy,representative_s_tier_costume,該角色擁有哪些時裝？,初晴,"[""福爾摩斯"",""初晴"",""死靈師""]"
gardener_representative_a_tier_costume_easy,gardener,survivor,easy,representative_a_tier_costume,該角色擁有哪些時裝？,長夏永不凋落、怪鳥,"[""\""膨化\""、LEONARD"",""長夏永不凋落、怪鳥"",""白澤、紙新娘·陶夢嫣""]"
gardener_abyss_s_or_a_costume_easy,gardener,survivor,easy,abyss_s_or_a_costume,該角色擁有哪些時裝？,蘭閨驚夢、真相小姐、等風來,"[""嗜金海怪、海怪船長"",""刻律涅之傷、聖誕狂鹿、阿努比斯"",""蘭閨驚夢、真相小姐、等風來""]"
gardener_cn_release_date_hard,gardener,survivor,hard,cn_release_date,該角色的上線日期為？,2018-04-02,"[""2021-05-08"",""2018-04-02"",""2019-06-06""]"
gardener_cn_voice_actor_hard,gardener,survivor,hard,cn_voice_actor,該角色的中文配音演員為？,李棟婷,"[""安志"",""李棟婷"",""王宇航""]"
gardener_experiment_code_hard,gardener,survivor,hard,experiment_code,該角色的實驗代號為？,4-1-1,"[""8-?-2"",""10-0-2/11-1-1"",""4-1-1""]"
magician_manor_name_easy,magician,survivor,easy,manor_name,該角色在莊園的名字是？,瑟維·勒·羅伊,"[""麥克·莫頓"",""瑟維·勒·羅伊"",""薇拉·奈爾""]"
magician_real_name_easy,magician,survivor,easy,real_name,該角色的本名是？,瑟維·勒·羅伊,"[""瓦倫蒂娜·雅加·瓦西裡耶娃"",""瑟維·勒·羅伊"",""伊塔·維魯弗""]"
magician_alias_easy,magician,survivor,easy,alias,玩家可能怎麼稱呼該角色？,最偉大的魔術師,"[""巫巫"",""最偉大的魔術師"",""約約""]"
magician_camp_easy,magician,survivor,easy,camp,該角色的陣營是？,求生者,"[""監管者"",""求生者""]"
magician_birthday_or_anniversary_easy,magician,survivor,easy,birthday_or_anniversary,該角色的生日／紀念日是？,7月4日,"[""4月2日"",""7月4日"",""8月25日""]"
magician_age_easy,magician,survivor,easy,age,該角色的年齡是？,35,"[""20"",""38"",""35""]"
magician_gender_easy,magician,survivor,easy,gender,該角色的性別是？,男,"[""女"",""男""]"
magician_likes_easy,magician,survivor,easy,likes,該角色喜歡？,製作精良的手杖和西服,"[""看書、文字記錄、研究法律"",""製作精良的手杖和西服"",""圖書館、家人、深秋""]"
magician_dislikes_easy,magician,survivor,easy,dislikes,該角色討厭？,被人威脅,"[""叛徒、無腦蠻鬥者、海軍、繁雜不實的事物"",""破壞建築物和擅自使用設施的人"",""被人威脅""]"
magician_representative_s_tier_costume_easy,magician,survivor,easy,representative_s_tier_costume,該角色擁有哪些時裝？,岩鴿,"[""司藥"",""\""鬼燭\"""",""岩鴿""]"
magician_representative_a_tier_costume_easy,magician,survivor,easy,representative_a_tier_costume,該角色擁有哪些時裝？,寒晶、尋寶貴族,"[""寒晶、尋寶貴族"",""惡之源、石榴碟小姐"",""海鹽特調、裁決之酒""]"
magician_abyss_s_or_a_costume_easy,magician,survivor,easy,abyss_s_or_a_costume,該角色擁有哪些時裝？,"白金阿拉丁、""假面紳士""、動力芯","[""白金阿拉丁、\""假面紳士\""、動力芯"",""夢境中的愛麗絲、恐懼的舊影、伊布"",""灰燼狂想、祖祖、緘默者""]"
magician_cn_release_date_hard,magician,survivor,hard,cn_release_date,該角色的上線日期為？,2018-04-02,"[""2018-04-05"",""2018-04-02"",""2021-11-11""]"
magician_cn_voice_actor_hard,magician,survivor,hard,cn_voice_actor,該角色的中文配音演員為？,孫曄,"[""劉以嘉"",""孫曄"",""杜晴晴""]"
magician_experiment_code_hard,magician,survivor,hard,experiment_code,該角色的實驗代號為？,9-?-4,"[""11-0-2"",""9-?-4"",""5-?-4""]"
adventurer_manor_name_easy,adventurer,survivor,easy,manor_name,該角色在莊園的名字是？,庫特·弗蘭克,"[""庫特·弗蘭克"",""梅莉·普林尼"",""安妮·萊斯特""]"
adventurer_real_name_easy,adventurer,survivor,easy,real_name,該角色的本名是？,庫特·弗蘭克,"[""庫特·弗蘭克"",""菲歐娜·吉爾曼"",""弗雷德里克·克雷伯格""]"
adventurer_alias_easy,adventurer,survivor,easy,alias,玩家可能怎麼稱呼該角色？,挖寶男孩,"[""挖寶男孩"",""小羅比"",""婭婭""]"
adventurer_camp_easy,adventurer,survivor,easy,camp,該角色的陣營是？,求生者,"[""監管者"",""求生者""]"
adventurer_birthday_or_anniversary_easy,adventurer,survivor,easy,birthday_or_anniversary,該角色的生日／紀念日是？,3月1日,"[""6月22日"",""3月19日"",""3月1日""]"
adventurer_age_easy,adventurer,survivor,easy,age,該角色的年齡是？,25,"[""25"",""28"",""23""]"
adventurer_gender_easy,adventurer,survivor,easy,gender,該角色的性別是？,男,"[""男"",""女""]"
adventurer_likes_easy,adventurer,survivor,easy,likes,該角色喜歡？,遊記、小說,"[""遊記、小說"",""家人、堅定的情感、火焰、曬太陽"",""草藥、木雕、黃金飾品""]"
adventurer_dislikes_easy,adventurer,survivor,easy,dislikes,該角色討厭？,昆蟲,"[""欺騙、教條主義"",""昆蟲"",""草藥""]"
adventurer_representative_s_tier_costume_easy,adventurer,survivor,easy,representative_s_tier_costume,該角色擁有哪些時裝？,報社主編,"[""報社主編"",""欺惑之燕"",""歐律狄刻""]"
adventurer_representative_a_tier_costume_easy,adventurer,survivor,easy,representative_a_tier_costume,該角色擁有哪些時裝？,小人國,"[""\""有機磷\""、共赴深處"",""長夏永不凋落、怪鳥"",""小人國""]"
adventurer_abyss_s_or_a_costume_easy,adventurer,survivor,easy,abyss_s_or_a_costume,該角色擁有哪些時裝？,警醒的龜先生、發明家、愛麗絲,"[""警醒的龜先生、發明家、愛麗絲"",""沉眠的兔先生、\""黑鼻子\""、蠻牛之力"",""異星、克朗普斯、波塞冬""]"
adventurer_cn_release_date_hard,adventurer,survivor,hard,cn_release_date,該角色的上線日期為？,2018-04-02,"[""2020-06-24"",""2025-08-28"",""2018-04-02""]"
adventurer_cn_voice_actor_hard,adventurer,survivor,hard,cn_voice_actor,該角色的中文配音演員為？,蘇鑫,"[""劉雨軒"",""蘇鑫"",""孫曄""]"
adventurer_experiment_code_hard,adventurer,survivor,hard,experiment_code,該角色的實驗代號為？,9-?-1,"[""6-0-5"",""2-1-1"",""9-?-1""]"
mercenary_manor_name_easy,mercenary,survivor,easy,manor_name,該角色在莊園的名字是？,奈布·薩貝達,"[""馬蒂亞斯·切爾寧"",""盧基諾·迪魯西"",""奈布·薩貝達""]"
mercenary_real_name_easy,mercenary,survivor,easy,real_name,該角色的本名是？,奈布·薩貝達,"[""奈布·薩貝達"",""米哈伊爾·托夫洛維奇·瓦西里耶夫"",""莉迪亞·瓊斯""]"
mercenary_alias_easy,mercenary,survivor,easy,alias,玩家可能怎麼稱呼該角色？,毛豆,"[""毛豆"",""巫巫"",""光頭哥""]"
mercenary_camp_easy,mercenary,survivor,easy,camp,該角色的陣營是？,求生者,"[""監管者"",""求生者""]"
mercenary_birthday_or_anniversary_easy,mercenary,survivor,easy,birthday_or_anniversary,該角色的生日／紀念日是？,7月23日,"[""10月21日"",""7月23日"",""2月18日""]"
mercenary_age_easy,mercenary,survivor,easy,age,該角色的年齡是？,27,"[""35"",""30"",""27""]"
mercenary_gender_easy,mercenary,survivor,easy,gender,該角色的性別是？,男,"[""女"",""男""]"
mercenary_likes_easy,mercenary,survivor,easy,likes,該角色喜歡？,彎刀、有月光的夜晚,"[""鳥類"",""珠寶、華服、箱包"",""彎刀、有月光的夜晚""]"
mercenary_dislikes_easy,mercenary,survivor,easy,dislikes,該角色討厭？,野豬、麻煩的客戶,"[""城市、喧囂的地方"",""不公正的法律裁決、不平等的對待"",""野豬、麻煩的客戶""]"
mercenary_representative_s_tier_costume_easy,mercenary,survivor,easy,representative_s_tier_costume,該角色擁有哪些時裝？,珍奇櫃,"[""不合時宜的維魯弗"",""國王的裁縫"",""珍奇櫃""]"
mercenary_representative_a_tier_costume_easy,mercenary,survivor,easy,representative_a_tier_costume,該角色擁有哪些時裝？,紅衣人、至萬千無言者,"[""紅衣人、至萬千無言者"",""結晶體、耶夢加得"",""永恆、赤松楓""]"
mercenary_abyss_s_or_a_costume_easy,mercenary,survivor,easy,abyss_s_or_a_costume,該角色擁有哪些時裝？,達克斯上校、推理先生、彈簧手,"[""達克斯上校、推理先生、彈簧手"",""瓊樓遺恨、愛神之吻、黑天鵝之羽"",""白金阿拉丁、\""假面紳士\""、動力芯""]"
mercenary_cn_release_date_hard,mercenary,survivor,hard,cn_release_date,該角色的上線日期為？,2018-04-05,"[""2018-11-15"",""2018-04-05"",""2019-05-09""]"
mercenary_cn_voice_actor_hard,mercenary,survivor,hard,cn_voice_actor,該角色的中文配音演員為？,王宇航,"[""王宇航"",""穆雪婷"",""金娜""]"
mercenary_experiment_code_hard,mercenary,survivor,hard,experiment_code,該角色的實驗代號為？,9-?-3,"[""5-?-4"",""8-0-1"",""9-?-3""]"
airman_manor_name_easy,airman,survivor,easy,manor_name,該角色在莊園的名字是？,瑪爾塔·貝坦菲爾,"[""伽拉泰亞"",""凱文·阿尤索"",""瑪爾塔·貝坦菲爾""]"
airman_former_name_easy,airman,survivor,easy,former_name,該角色的曾用名是？,瑪嘉蕾莎·哈麗,"[""羅伊·卡斐"",""瑪嘉蕾莎·哈麗"",""巴爾克·拉·帕杜拉""]"
airman_alias_easy,airman,survivor,easy,alias,玩家可能怎麼稱呼該角色？,空姐,"[""電擊小子"",""鉤爪小貓"",""空姐""]"
airman_camp_easy,airman,survivor,easy,camp,該角色的陣營是？,求生者,"[""監管者"",""求生者""]"
airman_birthday_or_anniversary_easy,airman,survivor,easy,birthday_or_anniversary,該角色的生日／紀念日是？,4月3日,"[""5月29日"",""5月18日"",""4月3日""]"
airman_age_easy,airman,survivor,easy,age,該角色的年齡是？,20,"[""18"",""20"",""35""]"
airman_gender_easy,airman,survivor,easy,gender,該角色的性別是？,女,"[""男"",""女""]"
airman_likes_easy,airman,survivor,easy,likes,該角色喜歡？,滑翔機、熱兵器,"[""獅子、舞台燈"",""滑翔機、熱兵器"",""機械玩偶""]"
airman_dislikes_easy,airman,survivor,easy,dislikes,該角色討厭？,信號塔,"[""輿論場、高風險、公關工作"",""貪贓枉法的上等人"",""信號塔""]"
airman_representative_s_tier_costume_easy,airman,survivor,easy,representative_s_tier_costume,該角色擁有哪些時裝？,菖蒲,"[""舞獅"",""菖蒲"",""墨菲斯的門廊""]"
airman_representative_a_tier_costume_easy,airman,survivor,easy,representative_a_tier_costume,該角色擁有哪些時裝？,寒香舞、天河,"[""海鹽特調、裁決之酒"",""寒香舞、天河"",""空""]"
airman_abyss_s_or_a_costume_easy,airman,survivor,easy,abyss_s_or_a_costume,該角色擁有哪些時裝？,瓊樓遺恨、愛神之吻、黑天鵝之羽,"[""瓊樓遺恨、愛神之吻、黑天鵝之羽"",""雪原獵人、弄臣、青須的公爵"",""羅密歐、湖中影、瑪吉努""]"
airman_cn_release_date_hard,airman,survivor,hard,cn_release_date,該角色的上線日期為？,2018-04-05,"[""2018-04-05"",""2020-03-19"",""2020-02-27""]"
airman_cn_voice_actor_hard,airman,survivor,hard,cn_voice_actor,該角色的中文配音演員為？,黃鶯,"[""陳昊天"",""黃鶯"",""杜晴晴""]"
airman_experiment_code_hard,airman,survivor,hard,experiment_code,該角色的實驗代號為？,6-1-4,"[""6-?-3"",""3-1-2"",""6-1-4""]"
mechanic_manor_name_easy,mechanic,survivor,easy,manor_name,該角色在莊園的名字是？,特蕾西·列茲尼克,"[""裘克"",""特蕾西·列茲尼克"",""菲歐娜·吉爾曼""]"
mechanic_real_name_easy,mechanic,survivor,easy,real_name,該角色的本名是？,特蕾西·列茲尼克,"[""盧卡斯·巴爾薩克"",""弗雷德里克·克雷伯格"",""特蕾西·列茲尼克""]"
mechanic_alias_easy,mechanic,survivor,easy,alias,玩家可能怎麼稱呼該角色？,小特,"[""小特"",""三刀姐"",""挖寶男孩""]"
mechanic_camp_easy,mechanic,survivor,easy,camp,該角色的陣營是？,求生者,"[""求生者"",""監管者""]"
mechanic_birthday_or_anniversary_easy,mechanic,survivor,easy,birthday_or_anniversary,該角色的生日／紀念日是？,9月13日,"[""5月18日"",""5月29日"",""9月13日""]"
mechanic_age_easy,mechanic,survivor,easy,age,該角色的年齡是？,21,"[""21"",""30"",""28""]"
mechanic_gender_easy,mechanic,survivor,easy,gender,該角色的性別是？,女,"[""男"",""女""]"
mechanic_likes_easy,mechanic,survivor,easy,likes,該角色喜歡？,機械玩偶,"[""有霧的夜晚"",""機械玩偶"",""溫柔的人""]"
mechanic_dislikes_easy,mechanic,survivor,easy,dislikes,該角色討厭？,炸藥,"[""破壞建築物和擅自使用設施的人"",""炸藥"",""蟑螂""]"
mechanic_representative_s_tier_costume_easy,mechanic,survivor,easy,representative_s_tier_costume,該角色擁有哪些時裝？,不會枯萎的花,"[""溯光"",""不會枯萎的花"",""哲人石""]"
mechanic_representative_a_tier_costume_easy,mechanic,survivor,easy,representative_a_tier_costume,該角色擁有哪些時裝？,小紅帽、心鎖,"[""女僕裝、\""未知射線\""X"",""茶話會、祈雨珠"",""小紅帽、心鎖""]"
mechanic_abyss_s_or_a_costume_easy,mechanic,survivor,easy,abyss_s_or_a_costume,該角色擁有哪些時裝？,"糖果少女、咫尺天涯、""鎖芯""","[""年歲、滾滾夥伴、桃樂絲"",""糖果少女、咫尺天涯、\""鎖芯\"""",""晨昏之隙、殘花淚、麒麟商人""]"
mechanic_cn_release_date_hard,mechanic,survivor,hard,cn_release_date,該角色的上線日期為？,2018-04-05,"[""2023-06-21"",""2018-04-05"",""2024-11-14""]"
mechanic_cn_voice_actor_hard,mechanic,survivor,hard,cn_voice_actor,該角色的中文配音演員為？,金娜,"[""孫暢"",""謝瑩"",""金娜""]"
mechanic_experiment_code_hard,mechanic,survivor,hard,experiment_code,該角色的實驗代號為？,10-0-1,"[""10-0-1"",""6-?-3"",""8-0-3""]"
forward_manor_name_easy,forward,survivor,easy,manor_name,該角色在莊園的名字是？,威廉·艾利斯,"[""艾瑪·伍茲"",""威廉·艾利斯"",""伊芙琳·莫雷""]"
forward_real_name_easy,forward,survivor,easy,real_name,該角色的本名是？,威廉·艾利斯,"[""威廉·艾利斯"",""米哈伊爾·托夫洛維奇·瓦西里耶夫"",""艾達·梅斯默""]"
forward_alias_easy,forward,survivor,easy,alias,玩家可能怎麼稱呼該角色？,快樂鋒男,"[""蠟蠟"",""蝶后"",""快樂鋒男""]"
forward_camp_easy,forward,survivor,easy,camp,該角色的陣營是？,求生者,"[""監管者"",""求生者""]"
forward_birthday_or_anniversary_easy,forward,survivor,easy,birthday_or_anniversary,該角色的生日／紀念日是？,5月15日,"[""7月10日"",""2月13日"",""5月15日""]"
forward_age_easy,forward,survivor,easy,age,該角色的年齡是？,28,"[""21"",""25"",""28""]"
forward_gender_easy,forward,survivor,easy,gender,該角色的性別是？,男,"[""男"",""女""]"
forward_likes_easy,forward,survivor,easy,likes,該角色喜歡？,拉格比足球、葡萄酒,"[""能面、頭紗、和服"",""森林、安靜的地方"",""拉格比足球、葡萄酒""]"
forward_dislikes_easy,forward,survivor,easy,dislikes,該角色討厭？,密碼機,"[""昆蟲"",""密碼機"",""所有人、酒""]"
forward_representative_s_tier_costume_easy,forward,survivor,easy,representative_s_tier_costume,該角色擁有哪些時裝？,火車頭,"[""欺惑之燕"",""珍奇櫃"",""火車頭""]"
forward_representative_a_tier_costume_easy,forward,survivor,easy,representative_a_tier_costume,該角色擁有哪些時裝？,群首、㏿滑種子,"[""群首、㏿滑種子"",""女僕裝、\""未知射線\""X"",""浮水蔓生、白松露""]"
forward_abyss_s_or_a_costume_easy,forward,survivor,easy,abyss_s_or_a_costume,該角色擁有哪些時裝？,"沉眠的兔先生、""黑鼻子""、蠻牛之力","[""沉眠的兔先生、\""黑鼻子\""、蠻牛之力"",""時之獵手、聚光燈下、窺伺之心"",""多色印刷、達芬奇、掌中篆記""]"
forward_cn_release_date_hard,forward,survivor,hard,cn_release_date,該角色的上線日期為？,2018-04-12,"[""2026-06-03"",""2018-04-12"",""2025-11-27""]"
forward_cn_voice_actor_hard,forward,survivor,hard,cn_voice_actor,該角色的中文配音演員為？,蘇鑫,"[""徐翔"",""蘇鑫"",""王宇航""]"
forward_experiment_code_hard,forward,survivor,hard,experiment_code,該角色的實驗代號為？,9-?-2,"[""9-?-2"",""10-0-2/11-1-1"",""8-0-3""]"
blind_girl_manor_name_easy,blind_girl,survivor,easy,manor_name,該角色在莊園的名字是？,海倫娜·亞當斯,"[""伽拉泰亞"",""海倫娜·亞當斯"",""瓦倫蒂娜·雅加·瓦西裡耶娃""]"
blind_girl_real_name_easy,blind_girl,survivor,easy,real_name,該角色的本名是？,海倫娜·亞當斯,"[""莉莉·巴利爾"",""巴爾克·拉·帕杜拉"",""海倫娜·亞當斯""]"
blind_girl_alias_easy,blind_girl,survivor,easy,alias,玩家可能怎麼稱呼該角色？,盲仔,"[""盲仔"",""老頭"",""法拉蛛""]"
blind_girl_camp_easy,blind_girl,survivor,easy,camp,該角色的陣營是？,求生者,"[""監管者"",""求生者""]"
blind_girl_birthday_or_anniversary_easy,blind_girl,survivor,easy,birthday_or_anniversary,該角色的生日／紀念日是？,1月13日,"[""7月30日"",""1月13日"",""3月19日""]"
blind_girl_age_easy,blind_girl,survivor,easy,age,該角色的年齡是？,19,"[""19"",""25"",""20""]"
blind_girl_gender_easy,blind_girl,survivor,easy,gender,該角色的性別是？,女,"[""男"",""女""]"
